YEAR    JAN    FEB    MAR    APR    MAY    JUN    JUL    AUG    SEP    OCT    NOV    DEC   D-J-F   M-A-M   J-J-A   S-O-N  metANN
1944   -9.9   -7.2   -6.4   -2.1    0.1    5.3    7.0    7.6    2.9   -0.9   -6.0   -8.8    -7.2    -2.8     6.6    -1.3   -1.18
1945   -4.9  -12.3   -5.9   -6.7    1.3    5.8    6.4    6.1    3.0    1.2   -3.5   -2.5    -8.7    -3.8     6.1     0.2   -1.52
1946   -8.9   -5.2   -3.4   -4.8    2.9    5.6    6.4    6.6    3.8    0.9   -1.0   -2.3    -5.5    -1.8     6.2     1.2    0.03
1947   -4.9   -0.9   -1.9   -2.9    2.5    7.3    7.7    6.1    3.8   -0.6   -2.2   -2.6    -2.7    -0.8     7.0     0.3    0.98
1948   -6.8   -7.7  -10.6   -3.9    0.5    7.2    9.4    7.5    4.1   -1.1   -4.4   -9.1    -5.7    -4.7     8.0    -0.5   -0.70
1949  -10.4  -13.6   -7.6   -8.9    0.8    6.4    8.4    6.7    3.0   -1.8   -4.2   -6.4   -11.0    -5.2     7.2    -1.0   -2.52
1950  -11.3   -9.9   -4.3   -3.4    2.5    6.5    7.9    6.7    3.4   -1.6   -3.9   -2.1    -9.2    -1.7     7.0    -0.7   -1.15
1951   -7.6  -10.8   -5.5   -4.2    1.8    6.6    6.9    6.2    5.2   -1.4  999.9   -8.4    -6.8    -2.6     6.6     0.1   -0.71
1952   -8.6   -6.9   -8.1   -3.7    2.7    5.1    6.7    6.8    4.5    0.4    1.7   -2.5    -8.0    -3.0     6.2     2.2   -0.65
1953   -7.9   -6.0   -8.8    0.6    3.5    4.6    7.5    6.7    3.7   -1.4  999.9  -11.9    -5.5    -1.6     6.3    -0.7   -0.36
1954   -6.6  -10.1   -4.7   -3.2    3.3    4.6    6.5    7.0    4.3    0.2  999.9   -9.0    -9.5    -1.5     6.0     0.4   -1.15
1955   -8.6   -4.0   -3.7   -4.5    2.3    5.7    4.8    5.9    3.1    1.5    0.6   -3.7    -7.2    -2.0     5.5     1.7   -0.49
1956  -10.3   -7.2   -4.8   -0.2    0.2    4.1    6.5    7.6    3.7   -1.1  999.9  -11.4    -7.1    -1.6     6.1    -0.5   -0.78
1957  -11.3   -6.9   -4.6   -2.2    1.9    6.9    7.2    7.4    5.4   -1.0  999.9   -6.4    -9.9    -1.6     7.2     0.4   -0.99
